corpus,dataset,n_norm,n_hard,frac_triv,fp,n_eff,eff_frac
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,4824,1258,0.31181619256017507,16|b3afad6ce1|a16442fb20,371,0.294912559618442
oddbench,DiamondClarity,2400,1241,0.06480783722682742,10|cff8007749|318c2c89d5,263,0.2119258662369057
adbench,19_landsat,2041,1198,0.10127531882970743,36|2522061e24|0426c2e79f,396,0.330550918196995
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,1757,1167,0.0,16|37feb419f7|4972c8e1ff,508,0.43530419880034277
ovrbench,MalariaDetection,2400,1124,0.02515177797051171,5|eb60e44652|0d6c64b51b,176,0.15658362989323843
ovrbench,SensorAnomaly,2400,1122,0.10096153846153846,10|cba95a35b0|e0055e9376,437,0.3894830659536542
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,4159,1119,0.0,136|9fac085f00|0ae0f18190,415,0.3708668453976765
oddbench,GPUResourceUsage,2400,1094,0.01618705035971223,4|0182ef39ce|afe2cdc64b,246,0.22486288848263253
ovrbench,PokemonBattle,2400,1086,0.10543657331136738,12|7680a24e83|a29502e5a1,431,0.39686924493554326
ovrbench,EEGEyeState,2400,1069,0.05648720211827008,14|137927a240|2613638929,462,0.4321796071094481
ovrbench,ShuttleOperations,2400,1055,0.5899727944034201,8|8ca85b13d1|b6f7eb66db,212,0.2009478672985782
tsbad_m,188_Exathlon_id_15_Facility_tr_12538_1st,1392,1043,0.0,152|ed30b3b455|d8060dd897,600,0.5752636625119847
ovrbench,BusinessAnomalies,2400,1025,0.4844064386317907,5|60446e6355|0ef38d6b6f,571,0.5570731707317074
oddbench,BarExamPrediction,2400,1014,0.023121387283236993,10|cd9649be5d|20282d5bbb,535,0.5276134122287969
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,1283,1005,0.0625,16|b71bbbec8a|e268dbf4f2,540,0.5373134328358209
ovrbench,CustomerChurn2,2400,1004,0.022395326192794548,5|18b77bfe9f|ca8e150c5d,463,0.46115537848605576
ovrbench,AirPressure,2400,1000,0.0,168|d30d08eb31|088dfa53e4,580,0.58
