dataset,corpus,truefam,d,n_anom,or_ap,frac_anom_trivial,frac_norm_trivial,n_hard_anom
001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,ucr,local,28,43,0.10310601848676879,0.4883720930232558,0.132,22
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,ucr,global,28,7,0.11155543075304013,0.7142857142857143,0.18627450980392157,2
013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.txt,ucr,local,28,10,0.06305939206680873,0.4,0.05614973262032086,6
014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt,ucr,local,28,10,0.12873771398414627,0.5,0.034759358288770054,5
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.txt,ucr,local,28,17,-0.02865495234250639,0.0,0.12666666666666668,17
026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,ucr,local,28,14,0.09527161894306858,0.5,0.24468085106382978,7
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.txt,ucr,local,28,11,0.015583090649386183,0.09090909090909091,0.2087912087912088,10
036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681.txt,ucr,global,28,9,-0.018913484323548602,0.1111111111111111,0.2619047619047619,8
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440.txt,ucr,local,28,14,0.22828824284065571,0.5714285714285714,0.04220779220779221,6
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.txt,ucr,local,28,10,0.05243484864370021,0.3,0.16428571428571428,7
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.txt,ucr,local,28,8,0.02384737552547082,0.125,0.0875,7
059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800.txt,ucr,local,28,23,-0.0003445216255542178,0.0,0.048,23
060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800.txt,ucr,local,28,23,0.0027801505851109843,0.0,0.062,23
062_UCR_Anomaly_DISTORTEDgaitHunt1_18500_33070_33180.txt,ucr,local,28,11,0.051678103855063086,0.2727272727272727,0.058,8
063_UCR_Anomaly_DISTORTEDgaitHunt2_18500_31200_31850.txt,ucr,local,28,45,0.08772638083020509,0.17777777777777778,0.038,37
072_UCR_Anomaly_DISTORTEDltstdbs30791ES_20000_52600_52800.txt,ucr,local,28,16,0.05885028650574828,0.125,0.03,14
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.txt,ucr,local,28,25,0.0985374442960551,0.36,0.06,16
078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412.txt,ucr,local,28,13,0.17523558647217138,0.6923076923076923,0.05,4
086_UCR_Anomaly_DISTORTEDsddb49_20000_67950_68200.txt,ucr,local,28,20,0.024942598344708203,0.35,0.142,13
089_UCR_Anomaly_DISTORTEDtiltAPB1_100000_114283_114350.txt,ucr,local,28,8,0.008287490277134183,0.0,0.118,8
093_UCR_Anomaly_NOISE1sddb40_35000_52000_52620.txt,ucr,local,28,43,0.08015056264822872,0.4418604651162791,0.142,24
097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.txt,ucr,local,28,7,-0.0015188392330033238,0.2857142857142857,0.22666666666666666,5
099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629.txt,ucr,local,28,13,0.23402442209716115,0.8461538461538461,0.22105263157894736,2
102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.txt,ucr,local,28,14,0.18618958067119934,0.6428571428571429,0.06493506493506493,5
103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809.txt,ucr,local,28,10,0.041575248696688924,0.5,0.30714285714285716,5
106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850.txt,ucr,local,28,45,0.03684516647317948,0.06666666666666667,0.06,42
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.txt,ucr,global,28,7,0.02854356862167063,0.5714285714285714,0.3387096774193548,3
117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900.txt,ucr,global,28,7,0.09617380285437237,0.7142857142857143,0.22549019607843138,2
121_UCR_Anomaly_ECG3_15000_16000_16100.txt,ucr,local,28,10,0.04025506557043806,0.1,0.0374331550802139,9
122_UCR_Anomaly_ECG3_8000_17000_17100.txt,ucr,local,28,10,0.10890677949490296,0.4,0.0374331550802139,6
151_UCR_Anomaly_MesoplodonDensirostris_10000_19280_19440.txt,ucr,local,28,14,0.2703394370989849,0.6428571428571429,0.03896103896103896,5
157_UCR_Anomaly_TkeepFirstMARS_3500_5365_5380.txt,ucr,local,28,5,0.07372832033515823,0.8,0.20422535211267606,1
160_UCR_Anomaly_TkeepThirdMARS_3500_4711_4809.txt,ucr,local,28,10,0.10576484614487056,0.6,0.17857142857142858,4
166_UCR_Anomaly_apneaecg_10000_12240_12308.txt,ucr,local,28,8,0.039943646251019,0.0,0.11666666666666667,8
167_UCR_Anomaly_gait1_20000_38500_38800.txt,ucr,local,28,23,0.05584797112489083,0.34782608695652173,0.084,15
168_UCR_Anomaly_gait2_22000_46500_46800.txt,ucr,local,28,23,0.0693366238121568,0.30434782608695654,0.054,16
170_UCR_Anomaly_gaitHunt1_18500_33070_33180.txt,ucr,local,28,11,0.15875937734191198,0.8181818181818182,0.072,2
171_UCR_Anomaly_gaitHunt2_18500_31200_31850.txt,ucr,local,28,45,0.2391477559933323,0.5111111111111111,0.076,22
181_UCR_Anomaly_park3m_60000_72150_72495.txt,ucr,local,28,25,0.11584968777881821,0.32,0.034,17
197_UCR_Anomaly_tiltAPB1_100000_114283_114350.txt,ucr,local,28,8,0.027416810018808614,0.625,0.188,3
207_UCR_Anomaly_CHARISten_3165_26929_26989.txt,ucr,local,28,7,0.026514378941090645,0.8571428571428571,0.26305220883534136,1
221_UCR_Anomaly_STAFFIIIDatabase_45616_163632_164852.txt,ucr,local,28,81,0.10279343469686167,0.14814814814814814,0.058,69
223_UCR_Anomaly_mit14046longtermecg_74123_131200_131700.txt,ucr,global,28,35,0.10508118797635684,0.7428571428571429,0.254,9
228_MGAB_id_4_Synthetic_tr_25000_1st_38948.csv,tsbad_u,local,28,37,0.06271251065941319,0.13513513513513514,0.05656565656565657,32
229_MGAB_id_5_Synthetic_tr_25000_1st_33098.csv,tsbad_u,local,28,31,0.026365335293769585,0.12903225806451613,0.038696537678207736,27
230_MGAB_id_6_Synthetic_tr_25000_1st_42441.csv,tsbad_u,local,28,40,-0.0047545913396743866,0.05,0.03838383838383838,38
244_UCR_Anomaly_tilt12754table_100013_104630_104890.txt,ucr,global,28,21,0.02421501895810023,0.2857142857142857,0.292,15
248_UCR_Anomaly_weallwalk_2000_4702_4707.txt,ucr,local,28,5,0.021067363075537714,0.8,0.5480769230769231,1
302_Power_id_1_Facility_tr_7685_1st_7785.csv,tsbad_u,global,28,204,-0.03866338890786921,0.1323529411764706,0.1872146118721461,177
