corpus,dataset,truefam,n_calib,reg_binary,reg_alpha10,reg_direct10,reg_oracle
ovrbench,GamingBehavior,local,31,0.2964,0.2964,0.0000,0.0
oddbench,GeneticAnalysis,global,24,0.0160,0.1006,0.0791,0.0
oddbench,AxieInfinityBug,local,31,0.0806,0.0806,0.0664,0.0
oddbench,RealEstateBlockType,global,22,0.0269,0.0269,0.0550,0.0
oddbench,WaterPointFunctionality,local,51,0.0000,0.0000,0.0521,0.0
oddbench,SMSClassification,global,23,0.4056,0.0731,0.0000,0.0
ovrbench,KPIData,local,37,0.0737,0.0737,0.0000,0.0
ovrbench,ShuttleOperations,local,74,0.0000,0.0000,0.0000,0.0
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,global,22,0.0411,0.0411,0.0000,0.0
oddbench,CasePriority,local,21,0.1231,0.0008,0.0000,0.0
dami,Wilt,local,25,0.1655,0.0000,0.0000,0.0
adbench,44_Wilt,local,25,0.1984,0.0836,0.0000,0.0
ovrbench,SpotifyHitPredictor,global,20,0.0030,0.0418,0.0304,0.0
oddbench,TreadmillStatus,local,58,0.3123,0.3123,0.0000,0.0
ovrbench,students_dropout_and_academic_success,local,19,0.0955,0.0027,0.0027,0.0
ovrbench,MalariaDetection,global,108,0.8167,0.1970,0.0000,0.0
ovrbench,GesturePhaseSegmentationProcessed,local,53,0.0000,0.0000,0.0122,0.0
ovrbench,HealthMetrics,local,20,0.0476,0.0588,0.0078,0.0
oddbench,BugSeverity,global,19,0.0000,0.0000,0.0250,0.0
tsbad_m,084_SVDB_id_1_Medical_tr_12973_1st_13073,local,20,0.0259,0.0000,0.0000,0.0
oddbench,LandRarity,global,29,0.0000,0.0000,0.1611,0.0
oddbench,ProgrammingAnomalies,local,24,0.0000,0.0000,0.0917,0.0
oddbench,WindowsEditionAnomaly,global,18,0.3970,0.3970,0.0000,0.0
ovrbench,BankruptcyForecast,global,18,0.0861,0.0861,0.0000,0.0
