corpus,dataset,truefam,reg_random,reg_beta1,reg_matched,reg_em,reg_mv,reg_consensus,reg_model_centrality,reg_hits
ovrbench,TrafficSensor,local,0.5739596973410259,0.04001194767990812,0.04001194767990812,0.05625670182485032,0.05625670182485032,0.5593566790693507,0.5593566790693507,0.5593566790693507
ovrbench,PokemonBattle,local,0.17857564378300347,0.00500450954297299,0.09473114414180797,0.09473114414180797,0.09473114414180797,0.18211864846275022,0.18211864846275022,0.18211864846275022
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,local,0.04046707872943653,0.03373461753512227,0.03373461753512227,0.008296869993336273,0.0036149401878406845,0.03849768974159777,0.03849768974159777,0.0028426944037953927
ovrbench,RealEstateListings,local,0.11341833012071147,0.1440009715979066,0.1440009715979066,0.17027656418521886,0.17027656418521886,0.08534733169987954,0.08534733169987954,0.08534733169987954
oddbench,BuildingInspections,global,0.2327453262357415,0.18904614220708357,0.18904614220708357,0.31857839049415626,0.31857839049415626,0.3200070786533453,0.3200070786533453,0.3200070786533453
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,local,0.12381728719410809,0.009531369026063219,0.009531369026063219,0.10484402948025194,0.10484402948025194,0.15927303653364858,0.15927303653364858,0.15927303653364858
ovrbench,ViralProteinFunction,local,0.15403952064547677,0.2508512299709335,0.2508512299709335,0.13797002850855508,0.13797002850855508,0.10460611108216658,0.10460611108216658,0.10460611108216658
ovrbench,GeotechnicalAnomalies,local,0.17205588564794877,0.015816394719659385,0.25662169003906987,0.06648893579978653,0.06648893579978653,0.2477325349972867,0.2477325349972867,0.2477325349972867
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,local,0.1038766165318889,0.02098281668605162,0.02098281668605162,0.021968904998702313,0.021968904998702313,0.14913665147986752,0.14913665147986752,0.14913665147986752
oddbench,ProtestViolence,global,0.6659150137028368,0.8650689069673555,0.8650689069673555,0.0,0.0,0.49016125232413105,0.49016125232413105,0.49016125232413105
ovrbench,BreastCancer,global,0.06263503907834586,0.0,0.12889824179369902,0.0,0.0,0.04747884448500356,0.04747884448500356,0.04299777297061996
ovrbench,UserMovieInteractions,global,0.3082101891674445,0.15428081856687567,0.33820714127581086,0.15428081856687567,0.15428081856687567,0.33132704084042497,0.33132704084042497,0.33132704084042497
ovrbench,Word2VecPCA,global,0.19236122538243697,0.241598783493417,0.22655335507617555,0.22655335507617555,0.22655335507617555,0.19567260023198813,0.20441232947875826,0.19567260023198813
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,local,0.13447180567134814,0.002786278459412539,0.002786278459412539,0.12080411194865381,0.12080411194865381,0.14380408233235553,0.14380408233235553,0.15500903162896124
ovrbench,TextAnomalyDetection,global,0.0969206043293211,0.030437757314276576,0.030437757314276576,0.11103411026445896,0.11103411026445896,0.1399364802082598,0.1399364802082598,0.11150402398863919
