corpus,dataset,truefam,reg_random,reg_p1,reg_pe,corr_str,lev,reg_beta1,reg_matched,reg_em,reg_mv,reg_consensus,reg_model_centrality,reg_hits,reg_corr_str,reg_combined
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,local,0.13415723882106934,0.002786278459412539,0.1071637800095317,0.5737550176111875,-0.0013237384506041838,0.002786278459412539,0.002786278459412539,0.12080411194865381,0.12080411194865381,0.14380408233235553,0.14380408233235553,0.15500903162896124,0.002786278459412539,0.002786278459412539
ovrbench,TextAnomalyDetection,global,0.09720934828003251,0.030437757314276576,0.11103411026445896,0.5488856645496267,0.0015083333333333337,0.030437757314276576,0.030437757314276576,0.11103411026445896,0.11103411026445896,0.1399364802082598,0.1399364802082598,0.0810830231158326,0.030437757314276576,0.030437757314276576
ovrbench,BNG(cmc),global,0.2731811920298258,0.30734313275106406,0.0,0.46373673074360056,-0.21714166666666657,0.30734313275106406,0.0,0.2432349815587771,0.2964357493433785,0.37597141518774146,0.37597141518774146,0.2709424179754797,0.30734313275106406,0.30734313275106406
oddbench,GlobalTerrorismAttack,global,0.4214260621387431,0.6227314669624484,0.6227314669624484,0.024023252893888965,-0.09863958333333334,0.6227314669624484,0.6227314669624484,0.4750211723304574,0.6227314669624484,0.4118974332978751,0.4118974332978751,0.45103849485439806,0.6227314669624484,0.6227314669624484
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,local,0.3109946194071471,0.018693934986316774,0.09855464260465335,0.495525786825104,-0.00030088958660390297,0.018693934986316774,0.018693934986316774,0.10323697413659949,0.10323697413659949,0.4447250030771286,0.4447250030771286,0.4447250030771286,0.018693934986316774,0.018693934986316774
ovrbench,FICO-HELOC-cleaned,local,0.08228229259136623,0.2055028599576837,0.10561836160980204,0.14720580209422846,-0.1426241480038949,0.2055028599576837,0.10561836160980204,0.2055028599576837,0.2055028599576837,0.11257487236935934,0.11257487236935934,0.025420622804581967,0.10561836160980204,0.10561836160980204
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,local,0.1144735557626324,0.0,0.03187394664273335,0.557051036559729,-0.002683270676691496,0.0,0.0,0.04740383036153212,0.09830918240500253,0.07367992413118629,0.07367992413118629,0.07367992413118629,0.0,0.0
oddbench,TrialBehavior,global,0.16180523207411693,0.16290222709948066,0.18109472810508132,0.3579714027386023,-0.2790229166666668,0.16290222709948066,0.18109472810508132,0.16290222709948066,0.16290222709948066,0.18395746464193727,0.18395746464193727,0.18395746464193727,0.16290222709948066,0.16290222709948066
ovrbench,compass,local,0.10443919918210084,0.1653268874504332,0.16197241843425686,0.06682609953968774,-0.1465833333333334,0.1653268874504332,0.16197241843425686,0.22518508915723834,0.22518508915723834,0.16197241843425686,0.16197241843425686,0.16197241843425686,0.16197241843425686,0.16197241843425686
ovrbench,KickstarterCampaigns,local,0.2727505330021984,0.207993460844136,0.207993460844136,0.1949639668351324,-0.25493333333333346,0.207993460844136,0.207993460844136,0.22794273970512036,0.21454894569918914,0.22794273970512036,0.207993460844136,0.207993460844136,0.207993460844136,0.207993460844136
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,global,0.16691418313768291,0.20135496545106774,0.20135496545106774,0.22140490409382022,-0.19130905077262705,0.20135496545106774,0.20135496545106774,0.19477432385565535,0.19477432385565535,0.2504871684298038,0.2504871684298038,0.2504871684298038,0.20135496545106774,0.20135496545106774
adbench,19_landsat,local,0.4234068209447215,0.003688256737989337,0.003688256737989337,0.49719460119469755,-0.00011274509803915755,0.003688256737989337,0.003688256737989337,0.15905552146247504,0.15905552146247504,0.5713713274888472,0.5713713274888472,0.5713713274888472,0.003688256737989337,0.003688256737989337
ovrbench,SpatialAnomalies,local,0.4673307697258597,0.024233207002364976,0.024233207002364976,0.15068925714124262,-0.13213307240704497,0.024233207002364976,0.024233207002364976,0.3444706978138131,0.09104782936469291,0.42244596641103954,0.42244596641103954,0.42244596641103954,0.024233207002364976,0.024233207002364976
