corpus,dataset,n_norm,n_anom,n_hard,frac_triv,n_eff,point_anom,fp
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,4159,1119,672,0.39946380697050937,305,False,136|9fac085f00|0ae0f18190
ovrbench,UrlAnalysis,1272,790,613,0.2240506329113924,305,False,15|d13e38ab35|982be1e539
oddbench,CourseRegistration,2400,2225,2191,0.015280898876404495,301,False,5|8919abf7a8|16431e2c66
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,2817,605,410,0.32231404958677684,299,False,16|695d7ebc3a|c5a559fd98
dami,Annthyroid,2400,534,349,0.3464419475655431,295,False,21|4973adbe0d|4f8704b40d
oddbench,GPUResourceUsage,2400,1112,1094,0.01618705035971223,295,False,4|0182ef39ce|afe2cdc64b
ovrbench,KenyaMovement,2400,400,338,0.155,288,False,9|586b526fc4|24220b3b55
oddbench,DiamondClarity,2400,1327,1211,0.08741522230595328,282,False,10|cff8007749|318c2c89d5
oddbench,HealthBehavior,1918,392,293,0.25255102040816324,272,False,6|286157d605|27543e6d45
ovrbench,ShillBidding,2259,498,276,0.4457831325301205,271,False,8|2355cfb829|e4d2c71183
oddbench,SalesPerformance,1056,364,325,0.10714285714285714,267,False,7|4338a28257|5f2f0e56b3
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,2239,451,396,0.12195121951219512,257,False,136|c7a51c081f|1aff6f2cae
oddbench,HumanRobotCollaboration,2400,1883,1728,0.08231545406266595,248,False,3|0515b43795|f412a5d928
oddbench,VoteOutcome,2400,671,260,0.6125186289120715,248,False,8|48472d4680|b280009ef7
oddbench,EmailSpamDetection,965,481,290,0.3970893970893971,248,False,72|a1efd02705|4858ce8105
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,4701,3239,730,0.77462179685088,246,False,408|e234e00702|0615911de2
ovrbench,SyntheticNumericalBatch,1976,334,317,0.05089820359281437,242,False,128|3737091e57|6aba1fdec6
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,2511,857,265,0.690781796966161,241,False,16|0328cedef9|361b0824f4
ovrbench,Run_or_walk_information,2400,3170,2659,0.161198738170347,240,False,6|53b8e98fec|03ecf595ef
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,2378,413,291,0.29539951573849876,236,False,136|881b1cd545|0fbc1b5a24
ovrbench,FinancialTransaction1,2400,388,357,0.07989690721649484,233,False,102|6e41f1c19f|8a1a12c0fd
oddbench,ArtSalesPlatform,2400,495,424,0.14343434343434344,227,False,4|bd4ee9b9f9|d884ae597a
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,2782,630,403,0.3603174603174603,223,False,16|999d926738|8b9d76384d
ovrbench,AbstractAnomalyBatch,2400,422,291,0.3104265402843602,222,False,65|270512c7fd|e346ea3b1e
ovrbench,visualizing_soil,1902,328,234,0.2865853658536585,222,False,3|6075819d31|1399fa08fa
ovrbench,GamingBehavior,2000,400,311,0.2225,212,False,23|b33855e4d1|c550e623e9
oddbench,GeneticAnalysis,2222,296,245,0.17229729729729729,207,False,5|eaffda0632|a682572f4d
oddbench,AxieInfinityBug,2400,332,313,0.0572289156626506,205,False,8|2ac85378dc|4f111cbba3
oddbench,RealEstateBlockType,1005,276,228,0.17391304347826086,205,False,3|e495ced11a|02b7beefc8
oddbench,WaterPointFunctionality,2400,524,511,0.02480916030534351,203,False,13|775833561c|fc35dbc3ae
oddbench,SMSClassification,1931,747,237,0.6827309236947792,203,False,9|390eb9ab25|6a8c16178e
ovrbench,KPIData,2400,386,371,0.038860103626943004,202,False,3|498471d2ab|43a1f6eaeb
ovrbench,ShuttleOperations,2400,2573,743,0.7112320248736883,198,False,8|8ca85b13d1|b6f7eb66db
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,2828,229,229,0.0,195,False,16|556b0afa51|5edb223451
oddbench,CasePriority,2400,270,210,0.2222222222222222,195,False,27|ba2d7680f2|56163424f5
dami,Wilt,1825,257,252,0.019455252918287938,193,False,5|1d19441cd0|0e60b06835
adbench,44_Wilt,1825,257,252,0.019455252918287938,193,False,5|7a3f7b312e|32ec5bba64
ovrbench,SpotifyHitPredictor,1280,411,200,0.51338199513382,193,False,13|b51df97f79|e92af39e92
oddbench,TreadmillStatus,2400,602,582,0.03322259136212625,187,False,7|c23303fdc0|a57217408a
ovrbench,students_dropout_and_academic_success,884,312,190,0.391025641025641,184,False,14|8ab18e83b0|529a635850
ovrbench,MalariaDetection,2400,1153,1082,0.06157849089332177,183,False,5|eb60e44652|0d6c64b51b
ovrbench,GesturePhaseSegmentationProcessed,1180,569,537,0.056239015817223195,180,False,32|9ca071de6a|7ef1936e80
ovrbench,HealthMetrics,1945,249,209,0.1606425702811245,180,False,3|46f081b920|51fb44285b
oddbench,BugSeverity,1023,228,193,0.15350877192982457,179,False,22|733e2e9cf9|8c32a7501e
tsbad_m,084_SVDB_id_1_Medical_tr_12973_1st_13073,2853,312,202,0.3525641025641026,175,False,16|bf7e2cfbb0|570fdd77df
oddbench,LandRarity,1122,378,295,0.21957671957671956,171,False,7|9e2498084d|019b62a332
oddbench,ProgrammingAnomalies,2400,271,242,0.1070110701107011,171,False,6|c0fc239de0|3bde561bcb
oddbench,WindowsEditionAnomaly,2400,479,181,0.6221294363256785,154,False,26|bbec81a04c|b5b0aeec39
ovrbench,BankruptcyForecast,2400,203,186,0.08374384236453201,150,False,64|89bc492a70|6add96888e
ovrbench,seismic-bumps,966,170,152,0.10588235294117647,147,False,6|0523a1a914|ec8e0b931a
tsbad_m,143_CATSv2_id_6_Sensor_tr_50000_1st_6023,2417,277,212,0.23465703971119134,147,False,136|9d9703cf50|90deeeccd1
tsbad_m,108_SVDB_id_25_Medical_tr_1238_1st_1338.,2795,565,165,0.7079646017699115,136,False,16|bcc96dc7f7|28e54e411e
tsbad_m,104_SVDB_id_21_Medical_tr_50000_1st_1066,2853,268,148,0.44776119402985076,136,False,16|a626674080|fc3574bf41
oddbench,CarMakeAnomaly,2400,203,160,0.21182266009852216,134,False,4|454327b699|19f07ac182
ovrbench,mozilla4,2400,998,183,0.8166332665330661,131,False,4|9bec93845b|47e3ae1a31
oddbench,FishingAnomalies,2400,485,467,0.03711340206185567,130,False,3|90d079a1dc|353737b4cf
oddbench,AquaticMacroInverts,833,469,264,0.43710021321961623,126,False,23|e3fe7ff184|18ad3d803e
oddbench,UserEventAnomalies,2400,230,207,0.1,124,False,3|5a095456f9|0539941408
oddbench,RealEstateProperties,2400,217,131,0.39631336405529954,123,False,4|08768e0fef|8894146a87
tsbad_m,053_GHL_id_22_Sensor_tr_50000_1st_126448,2500,425,421,0.009411764705882352,116,False,152|3a20a529b1|cb52f43196
ovrbench,HeadingDetection,2400,2865,2840,0.008726003490401396,110,False,7|c049f6353c|68c4914895
adbench,27_PageBlocks,1954,510,120,0.7647058823529411,110,False,10|0b7911305f|99b4eb976d
dami,PageBlocks,1954,510,120,0.7647058823529411,110,False,10|2ce062c1f8|a9b763c04e
tsbad_m,138_CATSv2_id_1_Sensor_tr_16568_1st_1666,1179,137,137,0.0,109,False,136|4efacdab71|323b9e6157
oddbench,AustinCrime,1857,204,108,0.47058823529411764,106,False,4|56f3362f96|d2c018b31f
ovrbench,thyroid-ann,1396,284,106,0.6267605633802817,102,False,6|4db7c8b1fd|315ce4822f
ovrbench,GeneExpressionCoactivator,1374,561,104,0.8146167557932263,101,False,4|563e6a4884|bae1a4d7b6
adbench,23_mammography,2400,260,110,0.5769230769230769,100,False,6|f9d0a63bb1|cd6970747b
