corpus,dataset,knn_orig,catch_orig,catch_comb,fp_comb,nhard_comb,neff_comb,knn_after
oddbench,TreadmillStatus,0.532,0.01,0.03,0.08,583,188,0.527
tsbad_m,137_CreditCard_id_1_Finance_tr_500_1st_5,0.217,0.45,0.48,0.07,784,295,0.186
ovrbench,BCellImmunity,0.111,0.17,0.2,0.07,559,486,0.089
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,0.227,0.6,0.66,0.07,484,413,0.096
ovrbench,GesturePhaseSegmentationProcessed,-0.158,0.08,0.09,0.06,519,182,-0.161
ovrbench,SpatialAnomalies,0.396,0.12,0.23,0.06,492,420,0.297
oddbench,AttackIncidents,-0.011,0.01,0.06,0.05,518,368,-0.038
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,0.417,0.12,0.2,0.08,498,403,0.366
ovrbench,BreastCancer,0.134,0.14,0.18,0.07,508,457,0.099
oddbench,WaterPointFunctionality,0.013,0.0,0.02,0.05,514,205,-0.004
oddbench,WaterChemistry,0.216,0.39,0.45,0.06,473,393,0.176
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,0.173,0.33,0.36,0.07,486,418,0.135
ovrbench,RealEstateData,0.98,0.0,0.0,0.05,491,366,0.98
dami,Annthyroid,0.497,0.08,0.34,0.04,351,304,0.18
oddbench,EmailSpamDetection,0.642,0.0,0.4,0.05,290,252,0.275
tsbad_m,110_SVDB_id_27_Medical_tr_30824_1st_3092,0.084,0.24,0.28,0.08,469,315,0.055
oddbench,FishingAnomalies,0.003,0.02,0.04,0.05,468,131,-0.001
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,0.107,0.6,0.65,0.07,391,299,0.04
oddbench,AquaticMacroInverts,0.943,0.02,0.42,0.04,271,138,0.876
ovrbench,ShillBidding,0.651,0.08,0.42,0.04,288,283,0.354
oddbench,ArtSalesPlatform,-0.003,0.07,0.15,0.07,423,233,-0.026
ovrbench,KDD,-0.003,0.02,0.03,0.06,445,339,-0.009
ovrbench,page-blocks,0.792,0.21,0.8,0.05,112,95,0.191
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,0.096,0.35,0.38,0.07,410,360,0.077
oddbench,WindowsEditionAnomaly,0.548,0.09,0.47,0.05,252,207,0.376
ovrbench,CryptojackingSystem,0.028,0.3,0.31,0.06,411,343,0.025
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,0.533,0.05,0.41,0.06,264,144,0.139
tsbad_m,095_SVDB_id_12_Medical_tr_6264_1st_6364.,0.092,0.35,0.39,0.08,396,317,0.055
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,-0.006,0.33,0.37,0.08,399,228,-0.03
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,0.071,0.31,0.33,0.08,404,301,0.053
oddbench,LandShapeAnomaly,0.273,0.14,0.22,0.08,383,352,0.207
tsbad_m,108_SVDB_id_25_Medical_tr_1238_1st_1338.,0.383,0.51,0.72,0.08,160,123,0.042
oddbench,OkCupidUserBehavior,0.067,0.07,0.11,0.08,371,329,0.036
adbench,27_PageBlocks,0.779,0.22,0.74,0.04,132,122,0.232
dami,PageBlocks,0.779,0.22,0.74,0.04,132,122,0.232
ovrbench,KPIData,-0.041,0.03,0.04,0.06,369,206,-0.043
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,0.616,0.29,0.66,0.05,139,90,0.049
oddbench,SalesPerformance,0.139,0.01,0.11,0.05,324,268,0.065
ovrbench,KenyaMovement,0.078,0.1,0.15,0.07,340,290,0.055
ovrbench,FinancialTransaction1,-0.012,0.06,0.07,0.06,361,240,-0.013
ovrbench,SyntheticNumericalBatch,0.009,0.04,0.06,0.07,314,244,0.008
ovrbench,GamingBehavior,0.397,0.17,0.23,0.04,310,209,0.302
ovrbench,ECGAnomaly,0.914,0.49,0.99,0.06,8,8,
oddbench,AxieInfinityBug,0.191,0.05,0.06,0.07,313,208,0.18
tsbad_m,173_GECCO_id_1_Sensor_tr_16165_1st_16265,0.282,0.87,0.91,0.05,28,27,0.114
oddbench,LandRarity,-0.034,0.18,0.22,0.05,296,171,-0.041
oddbench,HealthBehavior,0.067,0.19,0.23,0.06,303,283,0.047
