corpus,dataset,truefam,reg_binary,reg_maxdisagree,reg_alpha_localev,reg_bestalpha_oracle
ovrbench,XSSDetection,global,0.35833858259067597,0.35833858259067597,0.6609194456633171,0.0583345731254688
ovrbench,NetworkHealthMonitor,local,0.026085701318799472,0.026085701318799472,0.026085701318799472,0.026085701318799472
oddbench,OkCupidUserBehavior,local,0.03900848936823859,0.032334635399212455,0.032334635399212455,0.015082705782055589
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,local,0.0,0.0,0.0,0.0
ovrbench,KDD,global,0.09529467073169082,0.09529467073169082,0.11998593288213708,0.011081729503501801
tsbad_m,110_SVDB_id_27_Medical_tr_30824_1st_3092,local,0.016464814976534167,0.016464814976534167,0.016464814976534167,0.0
oddbench,PoliceForceDisturbance,local,0.43003226297908526,0.43003226297908526,0.43003226297908526,0.43003226297908526
tsbad_m,095_SVDB_id_12_Medical_tr_6264_1st_6364.,local,0.0014848209479332575,0.0014848209479332575,0.05666629266884336,0.0014848209479332575
ovrbench,WebpageSessionIntrusion,local,0.0,0.0,0.14950453309615142,0.0
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,global,0.11824476554485072,0.11824476554485072,0.11824476554485072,0.0
ovrbench,UrlAnalysis,global,0.8149265875447964,0.8149265875447964,0.8149265875447964,0.15317990609958648
oddbench,CourseRegistration,local,0.20840095191866154,0.20840095191866154,0.20840095191866154,0.20840095191866154
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,local,0.015754848206879127,0.015754848206879127,0.015754848206879127,0.0
dami,Annthyroid,global,0.0,0.0,0.0,0.0
oddbench,GPUResourceUsage,local,0.3025487083884869,0.3025487083884869,0.5292207156179691,0.3025487083884869
ovrbench,KenyaMovement,local,0.07384787435171312,0.03694376857160067,0.005341011846313998,0.0
oddbench,DiamondClarity,local,0.0,0.0,0.0,0.0
oddbench,HealthBehavior,global,0.0032205858277651045,0.0032205858277651045,0.03644610146407073,0.0032205858277651045
ovrbench,ShillBidding,global,0.0,0.0,0.0,0.0
oddbench,SalesPerformance,global,0.06035315984993006,0.06035315984993006,0.06035315984993006,0.06035315984993006
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,global,0.18648429650533238,0.18648429650533238,0.18648429650533238,0.18648429650533238
oddbench,HumanRobotCollaboration,local,0.0065361836415769314,0.0065361836415769314,0.0065361836415769314,0.0065361836415769314
oddbench,VoteOutcome,local,0.10555455853759643,0.10555455853759643,0.0029706369122494136,0.0
oddbench,EmailSpamDetection,global,0.5084255644630384,0.5084255644630384,0.41458120356069617,0.41458120356069617
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,local,0.27555395275708383,0.27555395275708383,0.3109550826557299,0.020767063983704204
ovrbench,SyntheticNumericalBatch,local,0.0,0.0,0.0,0.0
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,local,0.01264961158883482,0.01264961158883482,0.01264961158883482,0.006782141596476249
