corpus,dataset,truefam,reg_random,reg_beta1,reg_matched,reg_em,reg_mv,reg_consensus,reg_model_centrality,reg_hits
ovrbench,ViralProteinFunction,local,0.153365519123876,0.2508512299709335,0.2508512299709335,0.137970028508555,0.137970028508555,0.1046061110821665,0.1046061110821665,0.1046061110821665
ovrbench,GeotechnicalAnomalies,local,0.1712196906987965,0.0158163947196593,0.2828099318296662,0.0664889357997865,0.0664889357997865,0.2477325349972867,0.2477325349972867,0.2477325349972867
ovrbench,BreastCancer,global,0.0607586892336813,0.0,0.128898241793699,0.0,0.0,0.057380208938056,0.057380208938056,0.057380208938056
oddbench,ProtestViolence,global,0.6599062346869884,0.8650689069673555,0.8650689069673555,0.0,0.0,0.490161252324131,0.490161252324131,0.490161252324131
ovrbench,UserMovieInteractions,global,0.3089381792184396,0.1542808185668756,0.3382071412758108,0.1542808185668756,0.1542808185668756,0.3313270408404249,0.3313270408404249,0.3313270408404249
ovrbench,Word2VecPCA,global,0.1171736517977229,0.1637465054827575,0.148701077065516,0.148701077065516,0.148701077065516,0.1265600514680987,0.1265600514680987,0.1178203222213286
ovrbench,TextAnomalyDetection,global,0.0967035208685538,0.0304377573142765,0.0304377573142765,0.1110341102644589,0.1110341102644589,0.1399364802082598,0.1399364802082598,0.0810830231158326
ovrbench,BNG(cmc),global,0.2745758503352018,0.3096169644135075,0.0,0.2455088132212206,0.298709581005822,0.3782452468501849,0.3782452468501849,0.2732162496379232
oddbench,GlobalTerrorismAttack,global,0.434395422498571,0.6227314669624484,0.6227314669624484,0.4750211723304574,0.6227314669624484,0.4118974332978751,0.4118974332978751,0.451038494854398
ovrbench,FICO-HELOC-cleaned,local,0.0874342330225084,0.2116984993897921,0.1118140010419105,0.2116984993897921,0.2116984993897921,0.1187705118014678,0.1187705118014678,0.1187705118014678
oddbench,TrialBehavior,global,0.1618517644665923,0.1629022270994806,0.1810947281050813,0.1629022270994806,0.1629022270994806,0.1839574646419372,0.1839574646419372,0.1839574646419372
ovrbench,compass,local,0.1046867283239043,0.1653268874504332,0.1619724184342568,0.2251850891572383,0.2251850891572383,0.1653268874504332,0.1653268874504332,0.1653268874504332
ovrbench,KickstarterCampaigns,local,0.2677542943789446,0.1978275639294279,0.1978275639294279,0.2177768427904122,0.204383048784481,0.1978275639294279,0.1978275639294279,0.1978275639294279
adbench,19_landsat,local,0.4246318593137341,0.0036882567379893,0.0036882567379893,0.159055521462475,0.159055521462475,0.5713713274888472,0.5713713274888472,0.5713713274888472
ovrbench,SpatialAnomalies,local,0.4649006967609235,0.0242332070023649,0.0242332070023649,0.3444706978138131,0.0910478293646929,0.4224459664110395,0.4224459664110395,0.4224459664110395
oddbench,RulePriorityAnomalies,global,0.1052490405876492,0.0048077598317112,0.0048077598317112,0.010307235059453,0.0173737480411229,0.1256401130016223,0.1256401130016223,0.129174592886169
oddbench,WaterChemistry,local,0.4929150543073419,0.0,0.0,0.5633167528918326,0.5633167528918326,0.4814174037846925,0.4814174037846925,0.4814174037846925
ovrbench,EmployeePerformance,local,0.4773927185425589,0.0913918702608651,0.5418070193718372,0.0913918702608651,0.0913918702608651,0.5152677852737424,0.5152677852737424,0.5152677852737424
ovrbench,SepsisMonitoring,local,0.0658549108985369,0.1165586761547436,0.073573511331233,0.0605830337026139,0.0596231295977431,0.0605830337026139,0.0605830337026139,0.0675885563434178
ovrbench,BatchProcessingEvents,local,0.0555830258738309,0.05839722116212,0.0787113952130203,0.0787113952130203,0.0734682975624079,0.0787113952130203,0.0787113952130203,0.0787113952130203
ovrbench,PhysicsTraining,local,0.120895781512329,0.1837829312643468,0.1634676132235675,0.1470701520083105,0.1470701520083105,0.2151153630987825,0.2151153630987825,0.2171928730572137
ovrbench,volkert,global,0.2996699173961554,0.267499754337892,0.267499754337892,0.1053885760599153,0.1053885760599153,0.3004155224549792,0.3004155224549792,0.4790021713072945
ovrbench,FireRiskAnalysis,global,0.1118480392987289,0.0245079032263993,0.0247855201537488,0.0456302974187972,0.0456302974187972,0.0456302974187972,0.0456302974187972,0.0456302974187972
adbench,30_satellite,global,0.4061393764378956,0.1860515140258525,0.1860515140258525,0.3363926552283261,0.3363926552283261,0.5320146794154639,0.5320146794154639,0.3054587559331252
oddbench,AttackIncidents,local,0.06286957930723,0.0346585494111412,0.0346585494111412,0.0346585494111412,0.0346585494111412,0.100303368420971,0.100303368420971,0.100303368420971
ovrbench,RealEstateData,global,0.5181998289362074,0.2034840212845505,0.2034840212845505,0.2034840212845505,0.2034840212845505,0.7428150907121899,0.7428150907121899,0.6140033966320481
oddbench,RacingMotion,local,0.490459746005953,0.9391296238090816,0.9391296238090816,0.9391296238090816,0.9391296238090816,0.6751821161565708,0.6751821161565708,0.6751821161565708
ovrbench,CryptojackingSystem,local,0.2716755645196193,0.0380697429721892,0.0380697429721892,0.3098955000917445,0.3066390227861265,0.313246502383935,0.313246502383935,0.313246502383935
oddbench,LandShapeAnomaly,global,0.1243964415085515,0.0,0.0,0.0,0.0001137756751818,0.0,0.0,0.0
ovrbench,CreditScoringAnomalies,local,0.2533405309185063,0.2291441220924552,0.2291441220924552,0.3449406910975021,0.3449406910975021,0.3495711695107175,0.3495711695107175,0.3495711695107175
ovrbench,XSSDetection,global,0.5468507089820402,0.6609194456633171,0.6609194456633171,0.0583345731254688,0.0583345731254688,0.112703227802445,0.112703227802445,0.112703227802445
