corpus,dataset,truefam,local_ev,reg_binary,reg_alpha_s2,reg_alpha_s4,reg_alpha_s8
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,local,-0.013970335339638762,0.04522352466914077,0.05374857906172624,0.04522352466914077,0.04522352466914077
ovrbench,jannis,global,-0.2246625000000001,0.023959748608718745,0.1803917761602114,0.1803917761602114,0.1803917761602114
ovrbench,sf-police-incidents,local,-0.19441874999999997,0.11279275099671673,0.11279275099671673,0.11279275099671673,0.11279275099671673
ovrbench,CreditCustomerData,local,-0.29866249999999994,0.08418739263148843,0.08418739263148843,0.08418739263148843,0.08418739263148843
ovrbench,CelestialObjects2,global,-0.19910208333333335,0.14382388785169553,0.168029464061218,0.168029464061218,0.168029464061218
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,local,-0.03062332798287859,0.023154072969982342,0.02580364602447066,0.02580364602447066,0.023154072969982342
oddbench,TBAnomalyDetection,local,-0.17694999999999994,0.1536976188214409,0.1536976188214409,0.1536976188214409,0.1536976188214409
ovrbench,PsychoPrediction,global,-0.0367729166666666,0.04304167091165662,0.04304167091165662,0.04304167091165662,0.04304167091165662
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,local,-0.009702005730659047,0.011762847096862233,0.005637414559773377,0.011762847096862233,0.011762847096862233
ovrbench,CustomerChurn2,local,-0.05827500000000008,0.28018869764019183,0.11185894499926652,0.11185894499926652,0.11185894499926652
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,local,-0.05279742096505835,0.051023792119596414,0.051023792119596414,0.051023792119596414,0.051023792119596414
ovrbench,FinancialMetricsAnomaly,global,-0.11454081632653057,0.09586780379311562,0.09586780379311562,0.09586780379311562,0.09586780379311562
ovrbench,CardiacHealth,local,-0.06025416666666661,0.0030992569078435173,0.0030992569078435173,0.0030992569078435173,0.0030992569078435173
ovrbench,SensorAnomaly,local,-0.23116249999999994,0.20611469746101657,0.20611469746101657,0.20611469746101657,0.20611469746101657
ovrbench,BCellImmunity,global,-0.08749583333333344,0.11145252685549388,0.17651728900563107,0.17651728900563107,0.11145252685549388
oddbench,HealthPulse,local,-0.1582958333333333,0.08292672986068918,0.06330534127328989,0.06330534127328989,0.06330534127328989
oddbench,PropertyCondition,local,-0.22318958333333327,0.17808463229009244,0.23349995471885665,0.23349995471885665,0.23349995471885665
ovrbench,HealthActivityObesity,local,-0.21267499999999984,0.05303284639220188,0.05303284639220188,0.05303284639220188,0.05303284639220188
oddbench,TransactionFeeAnomalies,local,0.0,0.19550613689377516,0.19550613689377516,0.19550613689377516,0.19550613689377516
ovrbench,TwitterEmotion,local,-0.25671140939597326,0.036794623740398436,0.09275134383039256,0.09275134383039256,0.09275134383039256
ovrbench,FootballEfficiency,local,-0.3267020833333335,0.11067101069966667,0.11067101069966667,0.11067101069966667,0.11067101069966667
ovrbench,BoundingBoxClassification,global,-0.16180208333333335,0.11883037150682352,0.11883037150682352,0.11883037150682352,0.11883037150682352
oddbench,GeneticVariation,global,-0.18994535519125677,0.21552180747786231,0.37283067817050003,0.37283067817050003,0.37283067817050003
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,global,-0.014914465136422694,0.11417153058759888,0.11417153058759888,0.11417153058759888,0.11417153058759888
adbench,35_SpamBase,global,-0.0393083003952569,0.4886066661527776,0.4886066661527776,0.4886066661527776,0.4886066661527776
dami,SpamBase,global,-0.051166007905138255,0.5339516895948642,0.5339516895948642,0.5339516895948642,0.5339516895948642
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,local,-0.01384704788470481,0.0,0.0,0.0,0.0
oddbench,ProsperLoan,local,-0.16409375000000004,0.062035276952436554,0.015060590372003163,0.015060590372003163,0.015060590372003163
ovrbench,JobChangePatterns,global,-0.3100791666666666,0.22536457213131558,0.22536457213131558,0.22536457213131558,0.22536457213131558
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,local,-0.007502236536052864,0.002976651286634463,0.002976651286634463,0.002976651286634463,0.002976651286634463
