corpus,dataset,n_anom,n_norm,frac_triv,n_hard,br_hard
ovrbench,BreastCancer,616,1364,0.13636363636363635,532,0.2805907172994301
ovrbench,BusinessAnomalies,1988,2400,0.4844064386317907,1025,0.2992700729926134
ovrbench,CarSales,719,2008,1.0,0,0.0
ovrbench,CardiacHealth,5247,2400,0.2975033352391843,3686,0.6056523167925393
ovrbench,CareerDayAnomaly,106,1778,0.16981132075471697,88,0.04715969989279359
ovrbench,CelestialObjects2,9069,2400,0.8289778365861726,1551,0.3925588458617078
ovrbench,CombatStats,175,330,0.0,175,0.34653465346466034
ovrbench,Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),118,480,0.00847457627118644,117,0.19597989949715916
ovrbench,CreditCustomerData,1368,2400,0.0,1368,0.363057324840668
ovrbench,CreditRisk,400,2400,0.865,54,0.022004889975541155
ovrbench,CreditScoringAnomalies,6565,2400,0.040822543792840824,6297,0.7240427733700443
ovrbench,CropWeedDetection,86,386,0.0,86,0.18220338983012246
ovrbench,CryptoTradingSignals,85,374,0.0,85,0.18518518518478175
ovrbench,CryptojackingSystem,598,2400,0.30267558528428096,417,0.14802981895628398
ovrbench,CustomerChurn2,1027,2400,0.022395326192794548,1004,0.2949471210339909
ovrbench,DiabetesMetrics,160,336,0.0,160,0.32258064516063994
ovrbench,DiabeticRetinopathy,80,445,0.05,76,0.14587332053714805
ovrbench,DiskHealthPrediction,205,550,0.0,205,0.2715231788075874
ovrbench,ECGAnomaly,581,1168,0.4457831325301205,322,0.21610738255019055
ovrbench,EEGEyeState,1133,2400,0.05648720211827008,1069,0.3081579705966249
ovrbench,ElectronicCommerceAnomalies,91,685,0.0,91,0.11726804123696229
ovrbench,EmployeePerformance,8356,2400,0.16539013882240305,6974,0.7439726904202321
ovrbench,FICO-HELOC-cleaned,846,2055,0.016548463356973995,832,0.2881884308970252
ovrbench,FakeNewsPropagation,2816,2400,0.25639204545454547,2094,0.4659546061414183
ovrbench,FinancialIndicators1,96,401,0.010416666666666666,95,0.19153225806413
ovrbench,FinancialMetricsAnomaly,875,1568,0.09485714285714286,792,0.33559322033884087
ovrbench,FinancialTransaction1,388,2400,0.07474226804123711,359,0.1301196085537767
ovrbench,FinancialTransaction4,2093,2400,0.062111801242236024,1963,0.4499197799678088
ovrbench,FireRiskAnalysis,3819,2400,0.006546216286986122,3794,0.612528253148109
ovrbench,FootballBetting,2570,2400,1.0,0,0.0
ovrbench,FootballEfficiency,1049,2400,0.14299332697807435,899,0.27250682024847755
ovrbench,FootballOutcome,189,508,1.0,0,0.0
ovrbench,GamingBehavior,400,2000,0.1875,325,0.139784946236499
ovrbench,GeneExpressionCoactivator,561,1374,0.7450980392156863,143,0.09426499670395895
ovrbench,GeneticMutationAnalysis,45,956,0.26666666666666666,33,0.03336703741149306
ovrbench,GeotechnicalAnomalies,963,1695,0.06230529595015576,903,0.34757505773658676
ovrbench,GesturePhaseSegmentationProcessed,569,1180,0.033391915641476276,550,0.3179190751443249
ovrbench,HIVInfection,276,544,0.0,276,0.33658536585324805
ovrbench,HeadingDetection,2865,2400,0.008726003490401396,2840,0.541984732824324
ovrbench,HealthActivityObesity,3730,2400,0.04423592493297587,3565,0.5976529756914337
ovrbench,HealthMetrics,249,1945,0.10441767068273092,223,0.10285977859773854
