corpus,dataset,best,worst,mean,p10,p90,spread,oracle_gain,truefam
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,0.05413387709107316,-0.03225577053156211,0.0103191167832597,-0.010343317485347807,0.034829094745352285,0.08638964762263526,0.04381476030781346,global
ovrbench,jannis,0.29890388276849855,-0.28957663704903347,0.10949563947316165,-0.04779437997570507,0.28593206162331253,0.588480519817532,0.1894082432953369,global
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,0.07506652475240456,-0.08854224439694762,-0.03043259502887206,-0.07049660343214387,0.014507472707167984,0.16360876914935218,0.10549911978127663,local
ovrbench,AmazonReviewAnomalies,0.5284432584009404,-0.030786731403523886,0.22726735341727233,-0.013404759762688269,0.47454099906539976,0.5592299898044643,0.3011759049836681,global
ovrbench,sf-police-incidents,0.08504461977544472,-0.12120433949591129,0.010973800486825953,-0.056331712211378795,0.07894707347418702,0.206248959271356,0.07407081928861878,local
ovrbench,CreditCustomerData,0.22452059094768909,-0.13589273902304286,-0.01338843653996338,-0.07008555675159894,0.026976491929168404,0.36041332997073194,0.23790902748765247,local
ovrbench,CelestialObjects2,0.47442675037795484,0.001753986722131989,0.18071593489491897,0.07046476539751403,0.31564690323570044,0.47267276365582284,0.2937108154830359,global
oddbench,TBAnomalyDetection,0.33749429164102046,-0.24561655133522667,0.1515667278123754,0.02874126243860695,0.2812206617341783,0.5831108429762472,0.18592756382864506,local
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,0.40818303438972803,0.20829482716990225,0.3087902857947887,0.22649247154769253,0.3837041748925015,0.19988820721982578,0.09939274859493935,local
ovrbench,PsychoPrediction,0.04257980077192347,-0.25039015098954986,-0.08217339652433361,-0.17576341573782453,-0.011754471584402824,0.29296995176147334,0.12475319729625708,global
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,0.034061592705598935,-0.03382719436622697,0.0012565333581160186,-0.025496337360230395,0.028771017596330217,0.06788878707182591,0.032805059347482915,local
ovrbench,CustomerChurn2,0.3096065839456873,-0.18466232241497585,0.09863112529717011,-0.09626649491248293,0.23417479863862128,0.4942689063606631,0.2109754586485172,local
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,0.11251929732252886,-0.034129279840311576,0.018022175707212967,-0.02600293755082484,0.09246969158237683,0.14664857716284044,0.09449712161531588,local
ovrbench,FinancialMetricsAnomaly,0.08988830062365434,-0.0697049177078304,-0.009602212318381058,-0.061157780557223526,0.0771542143806832,0.15959321833148474,0.0994905129420354,global
