corpus,dataset,edge_recall,hist_recall,hist_extra,fp_edge,fp_hist
ovrbench,seismic-bumps,0.082,0.082,0.012,0.051,0.04
tsbad_m,104_SVDB_id_21_Medical_tr_50000_1st_1066,0.384,0.392,0.019,0.05,0.043
oddbench,AustinCrime,0.255,0.289,0.039,0.05,0.049
ovrbench,GeneExpressionCoactivator,0.791,0.807,0.03,0.049,0.048
oddbench,RealEstateProperties,0.253,0.364,0.134,0.046,0.048
tsbad_m,138_CATSv2_id_1_Sensor_tr_16568_1st_1666,0.0,0.328,0.328,0.0,0.042
ovrbench,thyroid-ann,0.454,0.44,0.0,0.049,0.037
adbench,23_mammography,0.585,0.562,0.027,0.05,0.049
oddbench,DeveloperSurvey,0.0,0.092,0.092,0.0,0.05
oddbench,GenomicSequencing,0.0,0.085,0.085,0.0,0.043
