corpus,dataset,truefam,reg_binary,reg_maxdisagree,reg_alpha_localev,reg_bestalpha_oracle,mean_band_frac
tsbad_m,108_SVDB_id_25_Medical_tr_1238_1st_1338.,local,0.0000,0.0000,0.0261,0.0000,0.728
tsbad_m,104_SVDB_id_21_Medical_tr_50000_1st_1066,local,0.0675,0.0675,0.0675,0.0000,0.949
oddbench,CarMakeAnomaly,local,0.0557,0.0557,0.0397,0.0397,0.627
ovrbench,mozilla4,local,0.0000,0.0000,0.0533,0.0000,0.709
oddbench,FishingAnomalies,local,0.2290,0.2290,0.2290,0.2290,0.886
oddbench,AquaticMacroInverts,global,0.5529,0.5529,0.5529,0.0706,0.830
oddbench,UserEventAnomalies,global,0.0000,0.0000,0.0000,0.0000,0.932
oddbench,RealEstateProperties,local,0.0616,0.0575,0.0565,0.0565,0.495
tsbad_m,053_GHL_id_22_Sensor_tr_50000_1st_126448,local,0.3133,0.3133,0.3133,0.2805,0.000
ovrbench,HeadingDetection,local,0.1770,0.3503,0.3503,0.1770,0.666
adbench,27_PageBlocks,local,0.0000,0.0000,0.0425,0.0000,0.940
dami,PageBlocks,local,0.0237,0.0237,0.1035,0.0237,0.940
tsbad_m,138_CATSv2_id_1_Sensor_tr_16568_1st_1666,local,0.0000,0.0000,0.0402,0.0000,0.254
oddbench,AustinCrime,local,0.0446,0.0446,0.1422,0.0446,0.950
ovrbench,thyroid-ann,global,0.2277,0.2277,0.2823,0.2277,0.875
ovrbench,GeneExpressionCoactivator,global,0.0498,0.0076,0.0076,0.0076,0.628
adbench,23_mammography,global,0.0222,0.0222,0.0979,0.0222,0.542
